ESTADO,VECESREPETIDAS
Tlaxcala,1
Nayarit,1
Chiapas,1
Quintana Roo,1
Colima,2
Guadalaja,2
Aguascalientes,3
Michoac�n,3
Morelos,3
Hidalgo,5
Guanajuato,8
San Luis Potosí,15
Yucatán,16
Zacatecas,19
Oaxaca,20
Puebla,23
Chihuahua,32
Tabasco,38
Baja California,38
Sinaloa,40
Campeche,40
Tamaulipas,45
Coahuila,47
Veracruz,48
Querétaro,48
Jalisco,70
Edo. de Mexico,127
Nuevo León,124
Sonora,377
CDMX,378
